"Product/ID,""product_id"",""location_id"",""qty"""
"__export__.product_product_90686_1ee7c886,""90686"","""",""52.0"""
"__export__.product_product_90685_27b22731,""90685"","""",""43.0"""
"__export__.product_product_110280_e09cb887,""110280"","""",""0.0"""
"__export__.product_product_144758_29342c8d,""144758"","""",""24.0"""
"__export__.product_product_144760_8ce538fb,""144760"","""",""21.0"""
"__export__.product_product_144757_a3078cb6,""144757"","""",""27.0"""
"__export__.product_product_144759_e0a1d3bf,""144759"","""",""25.0"""
"__export__.product_product_144761_610268ba,""144761"","""",""40.0"""
"__export__.product_product_152087_fe02b468,""152087"","""",""31.0"""
"__export__.product_product_144683_e158fafb,""144683"","""",""71.0"""
"__export__.product_product_110278_1d1b3ca6,""110278"","""",""0.0"""
"__export__.product_product_152081_8d0dcac4,""152081"","""",""28.0"""
"__export__.product_product_152080_4529be6c,""152080"","""",""25.0"""
"__export__.product_product_184891_a34a723a,""184891"","""",""0.0"""
"__export__.product_product_184884_9d65f226,""184884"","""",""0.0"""
"__export__.product_product_152076_aaf417bd,""152076"","""",""112.0"""
"__export__.product_product_152083_fade9cf1,""152083"","""",""33.0"""
"__export__.product_product_152086_de60cc85,""152086"","""",""27.0"""
"__export__.product_product_90671_545f0d67,""90671"","""",""23.0"""
"__export__.product_product_90672_81870550,""90672"","""",""44.0"""
"__export__.product_product_151313_fc8e6109,""151313"","""",""9.0"""
"__export__.product_product_151310_f8cdd07d,""151310"","""",""6.0"""
"__export__.product_product_151311_2669dea6,""151311"","""",""0.0"""
"__export__.product_product_151312_997dbf16,""151312"","""",""6.0"""
"__export__.product_product_180957_7d390a56,""180957"","""",""9.0"""
"__export__.product_product_195601_dbdd295a,""195601"","""",""0.0"""
"__export__.product_product_110277_31b058aa,""110277"","""",""0.0"""
"__export__.product_product_213067_620d4716,""213067"","""",""0.0"""
"__export__.product_product_213068_00017122,""213068"","""",""0.0"""
"__export__.product_product_183851_f3b6c5da,""183851"","""",""0.0"""
"__export__.product_product_161321_f34dcae4,""161321"","""",""36.0"""
"__export__.product_product_110276_bbeda18a,""110276"","""",""3.0"""
"__export__.product_product_213069_1831037b,""213069"","""",""0.0"""
"__export__.product_product_207756_7f5a7c41,""207756"","""",""0.0"""
"__export__.product_product_152078_0f2b83d0,""152078"","""",""32.0"""
"__export__.product_product_152077_c19cba20,""152077"","""",""68.0"""
"__export__.product_product_152079_97498301,""152079"","""",""27.0"""
"__export__.product_product_195822_896df07c,""195822"","""",""0.0"""
"__export__.product_product_195819_7542e970,""195819"","""",""0.0"""
"__export__.product_product_195818_a8c66db7,""195818"","""",""0.0"""
"__export__.product_product_195821_25f5c7ea,""195821"","""",""0.0"""
"__export__.product_product_195820_ef55d3b5,""195820"","""",""0.0"""
"__export__.product_product_195817_d3652cf1,""195817"","""",""0.0"""
"__export__.product_product_195823_06f6a7f0,""195823"","""",""0.0"""
"__export__.product_product_200366_1139edbd,""200366"","""",""0.0"""
"__export__.product_product_200371_7877d691,""200371"","""",""0.0"""
"__export__.product_product_200369_b99d71a3,""200369"","""",""0.0"""
"__export__.product_product_200370_a2532dfe,""200370"","""",""0.0"""
"__export__.product_product_200367_d209e277,""200367"","""",""0.0"""
"__export__.product_product_200365_33fc300c,""200365"","""",""0.0"""
"__export__.product_product_200368_ae2631f9,""200368"","""",""0.0"""
"__export__.product_product_196774_787eecd3,""196774"","""",""0.0"""
"__export__.product_product_184026_4966bcd4,""184026"","""",""0.0"""
"__export__.product_product_184027_b6e9ba07,""184027"","""",""0.0"""
"__export__.product_product_184031_8f819ac6,""184031"","""",""0.0"""
"__export__.product_product_213050_cd2799db,""213050"","""",""0.0"""
"__export__.product_product_215193_381df13a,""215193"","""",""0.0"""
"__export__.product_product_215192_68e6930a,""215192"","""",""0.0"""
"__export__.product_product_226622_4b6d7857,""226622"","""",""0.0"""
"__export__.product_product_226623_114b5074,""226623"","""",""0.0"""
"__export__.product_product_226624_0ad36285,""226624"","""",""0.0"""
"__export__.product_product_226625_0db74492,""226625"","""",""0.0"""
